trial_index,phase,phase_trial_index,bootstrap_trials_used,optimisation_trials_used,validation_trials_used,phase_mode,candidate_selection_mode,surrogate_active,predicted_score,desired_output,frequency_khz,kp,ki,kd,score,improve_vs_baseline_pct,best_improve_vs_baseline_pct,cancelled_repeats,cancel_reason,aborted,start_error,track_error,deviation,max_error,overshoot_pct,settling_time_s,rise_time_s,steady_state_error,iae,ise,itae,peak_value,peak_time_s,time_in_tolerance_s,time_to_first_tolerance_s,post_settle_variance,trace_duration_s,hold_duration_s,hold_mean_error,hold_variance,hold_drift,hold_time_in_tolerance_ratio,hold_oscillation_count,hold_quality,strict_bad_rate,oscillation_rate,invalid_ratio,repeatability,feature_early_slope_mean,feature_peak_value_mean,feature_peak_time_s_mean,feature_overshoot_pct_mean,feature_time_to_first_tolerance_s_mean,feature_time_in_tolerance_s_mean,feature_oscillation_count_mean,feature_area_above_target_mean,feature_area_below_target_mean,feature_post_settle_variance_mean,feature_early_mean_error_mean,feature_early_max_error_mean,feature_hold_duration_s_mean,feature_hold_mean_error_mean,feature_hold_variance_mean,feature_hold_drift_mean,feature_hold_time_in_tolerance_ratio_mean,feature_hold_oscillation_count_mean,feature_hold_quality_mean,feature_peak_value_std,feature_overshoot_pct_std
1,bootstrap,1,1,0,0,warmup,warmup,0,nan,400.0,10,0.15,0.14,0.05,8049.219218542871,0.0,0.0,0,,0,347.5566666666667,334.41555555555556,335.65310871339364,347.5566666666667,33.69416666666667,0.15,1.4999999999999998,332.8759259259259,347.34549999999996,430.5701649999999,384.7070999999999,402.16499999999996,10.5,7.7,0.15,339.02168546706525,7.6000000000000005,2.600000000000001,332.87128205128204,334.2000824457594,333.1617460317461,0.6666666666666666,0.0,333.79979055564104,0.3333333333333333,0.3333333333333333,0.3333333333333333,1909.8556980860603,7.531481481481485,402.16499999999996,10.5,33.69416666666667,0.15,7.7,0.0,2.5639999999999876,11.781499999999989,339.02168546706525,7.0,21.835000000000008,2.600000000000001,332.87128205128204,334.2000824457594,333.1617460317461,0.6666666666666666,0.0,333.79979055564104,0.835000000000008,46.88561419087475
2,bootstrap,2,2,0,0,warmup,warmup,0,nan,400.0,10,0.27749999999999997,0.14,0.05,65.42864238036,99.18714299357592,99.18714299357592,0,,0,13.0,2.478461538461538,3.4176289864277956,13.0,0.9725000000000014,0.0,0.49999999999999994,0.02370370370368846,26.864499999999992,118.84352499999994,115.15139999999997,403.89000000000004,7.8999999999999995,11.699999999999998,0.0,11.711285557747091,11.4,3.900000000000001,0.09358974358972698,2.386821696252475,0.2364285714285946,1.0,0.0,0.876730500059869,0.05952380952380953,0.0,0.0,3.189930006314244,5.309259259259263,403.89000000000004,7.8999999999999995,0.9725000000000014,0.0,11.699999999999998,0.0,9.665999999999997,17.198499999999992,11.711285557747091,5.34952380952381,13.0,3.900000000000001,0.09358974358972698,2.386821696252475,0.2364285714285946,1.0,0.0,0.876730500059869,0.8311838946145819,0.20779597365364547
3,bootstrap,3,3,0,0,warmup,warmup,0,nan,400.0,10,0.27749999999999997,0.248375,0.05,1853.1076565390867,76.97779615356842,99.18714299357592,1,two-strike cancellation: high_oscillation occurred in repeats 2 and 3,0,11.333333333333334,15.139955791335103,16.703279819315146,29.113333333333344,5.110833333333332,0.0,0.0,-6.275608465608475,162.8795,5702.259745,1075.0293,420.4433333333333,6.8999999999999995,7.7,0.0,48.48804744505369,10.4,3.600000000000001,-5.237538461538482,771.8955294358974,3.6805714285714353,0.6333333333333333,7.0,117.2147857807027,0.6274509803921569,0.6666666666666666,0.3333333333333333,210.38802791170414,2.0370370370370376,420.4433333333333,6.8999999999999995,5.110833333333332,0.0,7.7,13.333333333333334,69.83049999999999,93.04899999999999,48.48804744505369,7.269523809523808,11.446666666666678,3.600000000000001,-5.237538461538482,771.8955294358974,3.6805714285714353,0.6333333333333333,7.0,117.2147857807027,14.910813376726166,3.7277033441815415
4,bootstrap,4,4,0,0,warmup,warmup,0,nan,400.0,10,0.27749999999999997,0.14,0.08612500000000001,2105.1921773244994,73.84600766649766,99.18714299357592,1,two-strike cancellation: high_oscillation occurred in repeats 1 and 3,0,21.890000000000004,18.757347008547004,20.27462217429955,38.44333333333333,5.222500000000001,0.15,0.0,-5.926481481481498,193.7295,7643.339295000001,1084.6112999999998,420.89000000000004,4.1,6.400000000000001,0.19999999999999998,85.96396893685186,10.0,3.5000000000000004,-6.546638176638187,680.3361096841746,1.886317460317457,0.6296296296296297,6.666666666666667,116.67525533136113,0.6666666666666666,0.6666666666666666,0.3333333333333333,229.68472848131188,2.285185185185191,420.89000000000004,4.1,5.222500000000001,0.19999999999999998,6.400000000000001,16.0,68.56249999999999,125.16700000000003,85.96396893685186,14.428571428571429,24.77666666666666,3.5000000000000004,-6.546638176638187,680.3361096841746,1.886317460317457,0.6296296296296297,6.666666666666667,116.67525533136113,13.266154931503948,3.316538732875987
5,bootstrap,5,5,0,0,warmup,warmup,0,nan,400.0,10,0.38587499999999997,0.14,0.05,13532.270329123305,-68.11904312345236,99.18714299357592,1,two-strike cancellation: high_oscillation occurred in repeats 1 and 2,0,499.83500000000004,503.3859375,504.54772658256604,511.33500000000004,52.125,0.0,0.6,498.25,516.327,708.5491800000002,554.1729750000001,417.0,4.2,2.25,0.0,550.4590873046875,2.25,0.8999999999999999,498.47249999999997,622.6640458333335,505.00166666666667,0.4166666666666667,2.5,532.9241273758254,1.0,1.0,1.0,2012.0770625,1.4833333333333423,417.0,4.2,52.125,0.0,2.25,1.5,7.351500000000008,9.475500000000002,550.4590873046875,2.191428571428576,4.670000000000016,0.8999999999999999,498.47249999999997,622.6640458333335,505.00166666666667,0.4166666666666667,2.5,532.9241273758254,0.0,47.875
6,bootstrap,6,6,0,0,warmup,warmup,0,nan,400.0,10,0.27749999999999997,0.031625000000000014,0.05,51.65671475808646,99.3582394347133,99.3582394347133,0,,0,9.223333333333338,3.546837606837606,2.0972502972876224,9.333333333333334,0.16666666666666666,0.0,5.8999999999999995,-2.4448148148148143,39.56449999999999,192.43875499999987,188.75969999999998,400.4433333333333,8.299999999999999,11.699999999999998,0.0,4.605944860837166,11.4,3.900000000000001,-2.4961538461538453,2.321859566074943,0.3289682539682606,1.0,0.0,2.7386128421201463,0.23809523809523805,0.0,0.0,17.453678160612366,2.2222222222222228,400.4433333333333,8.299999999999999,0.16666666666666666,0.0,11.699999999999998,0.0,0.3989999999999955,39.16549999999999,4.605944860837166,5.777142857142853,9.223333333333338,3.900000000000001,-2.4961538461538453,2.321859566074943,0.3289682539682606,1.0,0.0,2.7386128421201463,0.7872455497210304,0.11785113019775792
7,bootstrap,7,7,0,0,warmup,warmup,0,nan,400.0,10,0.27749999999999997,0.031625000000000014,0.01929375,99.88604403485263,98.75905921651697,99.3582394347133,0,,0,20.666666666666668,5.051282051282051,4.046925267442757,20.666666666666668,0.4725000000000013,0.19999999999999998,7.0,-1.3322222222221853,55.716499999999996,437.040305,216.17009999999996,401.4466666666667,10.5,11.5,0.19999999999999998,11.632537304332162,11.4,3.900000000000001,-1.6058974358974183,2.44847297830376,0.9819841269841163,1.0,0.0,2.340165704840517,0.32142857142857145,0.0,0.0,22.058489216649875,6.788888888888884,401.4466666666667,10.5,0.4725000000000013,0.19999999999999998,11.5,0.0,1.0680000000000067,54.64849999999999,11.632537304332162,10.7152380952381,20.666666666666668,3.900000000000001,-1.6058974358974183,2.44847297830376,0.9819841269841163,1.0,0.0,2.340165704840517,1.968016485929138,0.33580128052168073
8,bootstrap,8,8,0,0,warmup,warmup,0,nan,400.0,10,0.18538124999999997,0.031625000000000014,0.05,8102.778767240111,-0.6654005468487598,99.3582394347133,0,,0,337.3333333333333,335.1110256410256,333.95043513086677,338.10999999999996,33.333333333333336,0.0,999.0,331.2592592592593,356.86550000000005,429.9991749999999,456.8901,399.17,6.1499999999999995,7.8,0.0,334.59031794871794,7.6000000000000005,2.600000000000001,331.27358974358975,333.46865759368836,333.11198412698417,0.6666666666666666,0.0,334.61515604432424,0.39285714285714285,0.3333333333333333,0.3333333333333333,1908.603041298768,0.9259259259259259,399.17,6.1499999999999995,33.333333333333336,0.0,7.8,0.0,0.0,23.865499999999997,334.59031794871794,4.284999999999997,7.329999999999984,2.600000000000001,331.27358974358975,333.46865759368836,333.11198412698417,0.6666666666666666,0.0,334.61515604432424,0.5,47.14045207910317
9,bootstrap,9,9,0,0,warmup,warmup,0,nan,400.0,10,0.36961875,0.031625000000000014,0.05,719.506633381139,91.06116240785663,99.3582394347133,0,,0,21.77666666666666,9.854700854700855,10.420002942526494,26.0,2.167500000000004,0.44999999999999996,0.0,-3.049629629629635,110.484,2118.17641,609.0906000000001,408.67,3.6999999999999997,9.200000000000001,0.09999999999999999,18.159766523176803,11.4,3.900000000000001,-2.940512820512822,211.06941183431948,1.5502380952380956,0.7179487179487181,4.0,79.76541449702991,0.4761904761904762,0.3333333333333333,0.0,104.9632240077238,4.012962962962966,408.67,3.6999999999999997,2.167500000000004,0.09999999999999999,9.200000000000001,8.0,27.934000000000008,82.55,18.159766523176803,11.952857142857146,23.109999999999996,3.900000000000001,-2.940512820512822,211.06941183431948,1.5502380952380956,0.7179487179487181,4.0,79.76541449702991,10.614455552060438,2.6536138880151094
10,bootstrap,10,10,0,0,warmup,warmup,0,nan,400.0,10,0.18538124999999997,0.031625000000000014,0.05,8004.006817168276,0.5616992176140515,99.3582394347133,0,,0,336.5566666666667,334.90299145299144,333.9149912738002,337.3333333333333,33.333333333333336,0.0,10.499999999999998,331.5925925925926,354.565,412.74784,442.24320000000006,399.33500000000004,10.5,7.8,0.0,334.3072150339689,7.6000000000000005,2.600000000000001,331.56384615384616,333.5896749506903,333.28253968253966,0.6666666666666666,0.0,334.4933645793219,0.36904761904761907,0.3333333333333333,0.3333333333333333,1911.163104304075,0.8648148148148178,399.33500000000004,10.5,33.333333333333336,0.0,7.8,0.0,0.0,21.564999999999994,334.3072150339689,3.9749999999999943,5.835000000000008,2.600000000000001,331.56384615384616,333.5896749506903,333.28253968253966,0.6666666666666666,0.0,334.4933645793219,0.664999999999992,47.14045207910317
