trial_index,phase,phase_trial_index,bootstrap_trials_used,optimisation_trials_used,validation_trials_used,repeat_index,phase_mode,kp,ki,kd,desired_output,frequency_khz,test_invalid,test_note,strict_bad_rate,oscillation_rate,failure_categories,repeat_score_regression_pct,repeat_cancellation_decision,start_error,track_error,deviation,max_error,overshoot_pct,settling_time_s,rise_time_s,steady_state_error,iae,ise,itae,peak_value,peak_time_s,time_in_tolerance_s,time_to_first_tolerance_s,post_settle_variance,early_slope,oscillation_count,area_above_target,area_below_target,trace_duration_s,hold_duration_s,hold_mean_error,hold_variance,hold_drift,hold_time_in_tolerance_ratio,hold_oscillation_count,hold_quality,early_mean_error,early_max_error
4,bootstrap,4,4,0,0,2,warmup,0.27749999999999997,0.14,0.08612500000000001,400.0,10,0,,0.0,0.0,,0.0,,26.329999999999984,3.452307692307689,6.154911478300876,26.329999999999984,1.417500000000004,0.3,0.0,0.6299999999999955,35.94299999999997,355.29974999999956,101.81609999999986,405.67,2.6999999999999997,11.400000000000002,0.3,21.86539203601106,9.444444444444445,0.0,12.496499999999983,23.446499999999983,11.4,3.9000000000000012,0.5900000000000318,1.6059230769230601,0.1671428571428919,1.0,0.0,1.138803672912731,10.85571428571428,26.329999999999984
4,bootstrap,4,4,0,0,3,warmup,0.27749999999999997,0.14,0.08612500000000001,400.0,10,1,"settled reading out of +/-5% (value=379.0000, target=400.0000)",1.0,1.0,high_oscillation|invalid_repeat,-64.05600774828244,two-strike cancellation: high_oscillation occurred in repeats 1 and 3,16.670000000000016,13.546399999999998,13.976184910053243,21.0,4.75,0.0,0.0,-0.3350000000000364,95.94749999999998,1384.0853849999994,387.4400999999999,419.0,6.8999999999999995,7.199999999999999,0.0,195.33374463999996,2.2222222222222223,12.0,43.69499999999997,52.252500000000005,7.199999999999999,2.6999999999999993,-1.7422222222222672,290.60417283950613,4.33299999999997,0.888888888888889,8.0,65.67732201973288,11.191428571428576,16.670000000000016
5,bootstrap,5,5,0,0,1,warmup,0.38587499999999997,0.14,0.05,400.0,10,1,no samples collected,1.0,1.0,high_oscillation|invalid_repeat,0.0,,999.0,999.0,999.0,999.0,100.0,nan,nan,999.0,999.0,999.0,999.0,nan,nan,0.0,nan,999.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,999.0,0.0,0.0,999.0,,
5,bootstrap,5,5,0,0,2,warmup,0.38587499999999997,0.14,0.05,400.0,10,1,"settled reading out of +/-5% (value=376.3300, target=400.0000)",1.0,1.0,high_oscillation|invalid_repeat,0.0,two-strike cancellation: high_oscillation occurred in repeats 1 and 2,0.6700000000000159,7.771875000000005,10.095453165132069,23.670000000000016,4.25,0.0,0.6,-2.5,33.65400000000002,418.0983600000004,109.34595000000006,417.0,4.2,4.5,0.0,101.91817460937511,2.9666666666666845,3.0,14.703000000000015,18.951000000000004,4.5,1.7999999999999998,-2.055000000000007,246.3280916666669,11.003333333333387,0.8333333333333334,5.0,66.84825475165076,2.191428571428576,4.670000000000016
6,bootstrap,6,6,0,0,1,warmup,0.27749999999999997,0.031625000000000014,0.05,400.0,10,0,,0.07142857142857142,0.0,,0.0,,4.670000000000016,2.3766666666666696,1.645283059084422,5.0,0.25,0.0,5.4,-1.557777777777801,26.706000000000028,86.05008000000025,130.6044000000002,401.0,7.5,11.7,0.0,2.706956344510194,1.6666666666666667,0.0,0.7979999999999907,25.90800000000004,11.4,3.9000000000000012,-1.7200000000000273,2.167076923076917,0.11142857142857565,1.0,0.0,2.0678354617683565,3.430000000000007,4.670000000000016
6,bootstrap,6,6,0,0,2,warmup,0.27749999999999997,0.031625000000000014,0.05,400.0,10,0,,0.21428571428571427,0.0,,0.0,,8.329999999999984,3.3330769230769217,1.9257124845903206,8.329999999999984,0.25,0.0,6.3,-2.444444444444457,37.09799999999999,154.8820799999999,177.19739999999993,401.0,11.1,11.7,0.0,3.708368573307026,1.4777777777777603,0.0,0.39899999999999586,36.69899999999999,11.4,3.9000000000000012,-2.2307692307692264,3.6276071005917023,0.32642857142855064,1.0,0.0,2.747801543145759,5.569999999999993,8.329999999999984
6,bootstrap,6,6,0,0,3,warmup,0.27749999999999997,0.031625000000000014,0.05,400.0,10,0,,0.42857142857142855,0.0,severe_score_regression,61.70201551912962,,14.670000000000016,4.930769230769227,2.7207553481881237,14.670000000000016,0.0,0.0,6.0,-3.3322222222221853,54.88949999999995,336.38410499999947,258.47729999999984,399.33,6.3,11.7,0.0,7.4025096646942785,3.5222222222222404,0.0,0.0,54.88949999999995,11.4,3.9000000000000012,-3.537692307692282,1.1708946745562097,0.5490476190476556,1.0,0.0,3.4002015214463235,8.331428571428562,14.670000000000016
7,bootstrap,7,7,0,0,1,warmup,0.27749999999999997,0.031625000000000014,0.01929375,400.0,10,0,,0.6785714285714286,0.0,,0.0,,24.0,6.948205128205125,4.115027414804074,24.0,0.0,0.3,9.6,-2.8133333333332757,77.39399999999996,675.9687599999996,327.7592999999998,398.67,11.1,11.400000000000002,0.3,9.526031301939065,7.961111111111103,0.0,0.0,77.39399999999996,11.4,3.9000000000000012,-3.3576923076922753,1.4120639053254556,2.1214285714285666,1.0,0.0,3.9079564209694064,12.714285714285714,24.0
7,bootstrap,7,7,0,0,2,warmup,0.27749999999999997,0.031625000000000014,0.01929375,400.0,10,0,,0.25,0.0,,0.0,,22.670000000000016,4.77820512820513,4.851919945051518,22.670000000000016,0.667500000000004,0.3,5.4,-0.37000000000000455,52.10400000000002,440.09274000000016,169.53480000000013,402.67,11.1,11.400000000000002,0.3,15.298393628808881,7.594444444444454,0.0,1.3020000000000114,50.802,11.4,3.9000000000000012,-0.563846153846157,2.216269822485229,0.8100000000000023,1.0,0.0,1.470991690733075,11.905714285714291,22.670000000000016
7,bootstrap,7,7,0,0,3,warmup,0.27749999999999997,0.031625000000000014,0.01929375,400.0,10,0,,0.03571428571428571,0.0,,-28.582843205579632,,15.329999999999984,3.427435897435898,3.1738284424726775,15.329999999999984,0.75,0.0,6.0,-0.8133333333332757,37.651500000000006,195.0594150000002,151.2162,403.0,9.299999999999999,11.7,0.0,10.073186982248542,4.811111111111094,0.0,1.9020000000000086,35.7495,11.4,3.9000000000000012,-0.8961538461538225,3.717085207100596,0.014523809523780074,1.0,0.0,1.6415490028190685,7.525714285714295,15.329999999999984
