trial_index,phase,phase_trial_index,bootstrap_trials_used,optimisation_trials_used,validation_trials_used,test_index,sample_index,time_s,current_power,desired_output,kp,ki,kd,test_invalid,test_note
3,bootstrap,3,3,0,0,1,6,1.5,399.67,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,1,7,1.7999999999999998,398.33,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,1,8,2.1,400.0,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,1,9,2.4,401.33,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,1,10,2.6999999999999997,400.0,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,1,11,3.0,400.0,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,1,12,3.3,399.67,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,1,13,3.5999999999999996,401.0,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,1,14,3.9,399.0,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,1,15,4.2,399.67,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,1,16,4.5,399.67,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,1,17,4.8,401.0,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,1,18,5.1,399.67,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,1,19,5.3999999999999995,401.0,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,1,20,5.7,399.0,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,1,21,6.0,400.0,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,1,22,6.3,399.0,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,1,23,6.6,399.67,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,1,24,6.8999999999999995,400.67,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,1,25,7.199999999999999,399.33,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,1,26,7.5,400.0,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,1,27,7.8,400.0,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,1,28,8.1,400.33,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,1,29,8.4,398.33,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,1,30,8.7,401.0,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,1,31,9.0,400.0,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,1,32,9.299999999999999,399.33,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,1,33,9.6,400.0,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,1,34,9.9,398.67,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,1,35,10.2,402.33,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,1,36,10.5,398.33,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,1,37,10.799999999999999,400.33,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,1,38,11.1,398.67,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,1,39,11.4,400.67,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,2,1,0.0,372.33,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,2,2,0.3,385.33,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,2,3,0.6,388.33,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,2,4,0.8999999999999999,391.0,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,2,5,1.2,396.0,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,2,6,1.5,397.33,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,2,7,1.7999999999999998,399.67,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,2,8,2.1,400.33,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,2,9,2.4,401.0,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,2,10,2.6999999999999997,400.0,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,2,11,3.0,398.67,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,2,12,3.3,401.33,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,2,13,3.5999999999999996,398.67,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,2,14,3.9,399.33,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,2,15,4.2,400.67,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,2,16,4.5,399.33,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,2,17,4.8,401.0,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,2,18,5.1,400.33,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,2,19,5.3999999999999995,397.33,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,2,20,5.7,400.67,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,2,21,6.0,401.0,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,2,22,6.3,401.0,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,2,23,6.6,399.67,400.0,0.016124999999999973,0.14,0.05,0,
